"DBD381.Code.or.Value","DBD381.Value.Description","DBD381.Count","DBD381.Cumulative","DBD381.Skip.to.Item"
"1 to 5","Range of Values",2443,2443,""
"0","None",503,2946,"DBQ400"
"7777","Refused",0,2946,"DBQ400"
"9999","Don't know",4,2950,"DBQ400"
".","Missing",7398,10348,""
