"HID030E.Code.or.Value","HID030E.Value.Description","HID030E.Count","HID030E.Cumulative","HID030E.Skip.to.Item"
"1","Yes",368,368,NA
"2","No",8503,8871,NA
"7","Refused",9,8880,NA
"9","Don't know",55,8935,NA
".","Missing",2104,11039,NA
