"CBQ738i.Code.or.Value","CBQ738i.Value.Description","CBQ738i.Count","CBQ738i.Cumulative","CBQ738i.Skip.to.Item"
"9","To compare which brand/food is better/healthier",1081,1081,NA
".","Missing",1864,2945,NA
