"DR2EXMER.Code.or.Value","DR2EXMER.Value.Description","DR2EXMER.Count","DR2EXMER.Cumulative","DR2EXMER.Skip.to.Item"
"32 to 92","Range of Values",112101,112101,NA
".","Missing",0,112101,NA
