"LBXD03.Code.or.Value","LBXD03.Value.Description","LBXD03.Count","LBXD03.Cumulative","LBXD03.Skip.to.Item"
"10.68 to 4108.7","Range of Values",1234,1234,NA
".","Missing",1313,2547,NA
