"VTQ200E.Code.or.Value","VTQ200E.Value.Description","VTQ200E.Count","VTQ200E.Cumulative","VTQ200E.Skip.to.Item"
"1","Yes",240,240,NA
"2","No",408,648,NA
"7","Refused",0,648,NA
"9","Don't know",0,648,NA
".","Missing",203,851,NA
