"URXCEM.Code.or.Value","URXCEM.Value.Description","URXCEM.Count","URXCEM.Cumulative","URXCEM.Skip.to.Item"
"4.92 to 4870","Range of Values",2609,2609,NA
".","Missing",146,2755,NA
