"DXXPT71Y.Code.or.Value","DXXPT71Y.Value.Description","DXXPT71Y.Count","DXXPT71Y.Cumulative","DXXPT71Y.Skip.to.Item"
"93.9 to 281.6","Range of Values",3107,3107,NA
".","Missing",601,3708,NA
