"URDNO3LC.Code.or.Value","URDNO3LC.Value.Description","URDNO3LC.Count","URDNO3LC.Cumulative","URDNO3LC.Skip.to.Item"
"0","At or above the detection limit",3014,3014,NA
"1","Below lower detection limit",1,3015,NA
".","Missing",264,3279,NA
