"AUXU4KL.Code.or.Value","AUXU4KL.Value.Description","AUXU4KL.Count","AUXU4KL.Cumulative","AUXU4KL.Skip.to.Item"
"-10 to 115","Range of Values",1766,1766,NA
"666","No response",1,1767,NA
"888","Could not obtain",1,1768,NA
".","Missing",121,1889,NA
