"DR2TVB2.Code.or.Value","DR2TVB2.Value.Description","DR2TVB2.Count","DR2TVB2.Cumulative","DR2TVB2.Skip.to.Item"
"0 to 14.814","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
