"SMQ665C.Code.or.Value","SMQ665C.Value.Description","SMQ665C.Count","SMQ665C.Cumulative","SMQ665C.Skip.to.Item"
"1","NEWPORT",4,4,"SMQ670"
"2","NEWPORT MENTHOL GOLD",0,4,"SMQ670"
"3","OTHER NEWPORT",0,4,"SMQ670"
"77","Refused",0,4,"SMQ670"
"99","Don't know",0,4,"SMQ670"
".","Missing",6997,7001,""
