"WBXF106.Code.or.Value","WBXF106.Value.Description","WBXF106.Count","WBXF106.Cumulative","WBXF106.Skip.to.Item"
"7772.2555 to 7772.2555","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
