"AUXRR244.Code.or.Value","AUXRR244.Value.Description","AUXRR244.Count","AUXRR244.Cumulative","AUXRR244.Skip.to.Item"
"-40 to 55","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
