"FSD032C.Code.or.Value","FSD032C.Value.Description","FSD032C.Count","FSD032C.Cumulative","FSD032C.Skip.to.Item"
"1","Often true",609,609,NA
"2","Sometimes true",1432,2041,NA
"3","Never true",7657,9698,NA
"7","Refused",7,9705,NA
"9","Don't know",10,9715,NA
".","Missing",41,9756,NA
