"BPQ150D.Code.or.Value","BPQ150D.Value.Description","BPQ150D.Count","BPQ150D.Cumulative","BPQ150D.Skip.to.Item"
"1","Yes",140,140,NA
"2","No",7230,7370,NA
".","Missing",2392,9762,NA
