"DXXPT16Y.Code.or.Value","DXXPT16Y.Value.Description","DXXPT16Y.Count","DXXPT16Y.Cumulative","DXXPT16Y.Skip.to.Item"
"125.2 to 362.9","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
