"RFXT153.Code.or.Value","RFXT153.Value.Description","RFXT153.Count","RFXT153.Cumulative","RFXT153.Skip.to.Item"
"1335 to 1344","Range of Values",33672,33672,NA
".","Missing",49,33721,NA
