"BIXC083K.Code.or.Value","BIXC083K.Value.Description","BIXC083K.Count","BIXC083K.Cumulative","BIXC083K.Skip.to.Item"
"34.23 to 148.62","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
