"HOD140.Code.or.Value","HOD140.Value.Description","HOD140.Count","HOD140.Cumulative","HOD140.Skip.to.Item"
"1","Yes",423,423,""
"2","No",624,1047,"HOD160"
"7","Refused",0,1047,"HOD160"
"9","Don't know",18,1065,"HOD160"
".","Missing",8900,9965,""
