"PHQ040.Code.or.Value","PHQ040.Value.Description","PHQ040.Count","PHQ040.Cumulative","PHQ040.Skip.to.Item"
"1","Yes",371,371,NA
"2","No",8811,9182,NA
".","Missing",240,9422,NA
