"RHQ390.Code.or.Value","RHQ390.Value.Description","RHQ390.Count","RHQ390.Cumulative","RHQ390.Skip.to.Item"
"17 to 53","Range of Values",161,161,NA
"777","Refused",0,161,NA
"999","Don't know",4,165,NA
".","Missing",3352,3517,NA
