"LBXVEC.Code.or.Value","LBXVEC.Value.Description","LBXVEC.Count","LBXVEC.Cumulative","LBXVEC.Skip.to.Item"
"0.032 to 0.505","Range of Values",3042,3042,NA
".","Missing",352,3394,NA
