"DS2TMAGN.Code.or.Value","DS2TMAGN.Value.Description","DS2TMAGN.Count","DS2TMAGN.Cumulative","DS2TMAGN.Skip.to.Item"
"0.3 to 2000","Range of Values",1522,1522,NA
".","Missing",8240,9762,NA
