"VTQ281A.Code.or.Value","VTQ281A.Value.Description","VTQ281A.Count","VTQ281A.Cumulative","VTQ281A.Skip.to.Item"
"1","Yes",79,79,NA
"2","No",2648,2727,NA
"7","Refused",0,2727,NA
"9","Don't know",2,2729,NA
".","Missing",718,3447,NA
