"AUXLR158.Code.or.Value","AUXLR158.Value.Description","AUXLR158.Count","AUXLR158.Cumulative","AUXLR158.Skip.to.Item"
"-32 to 72","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
