"LB2SAPSI.Code.or.Value","LB2SAPSI.Value.Description","LB2SAPSI.Count","LB2SAPSI.Cumulative","LB2SAPSI.Skip.to.Item"
"24 to 593","Range of Values",544,544,NA
".","Missing",2,546,NA
