"DBQ095Z.Code.or.Value","DBQ095Z.Value.Description","DBQ095Z.Count","DBQ095Z.Cumulative","DBQ095Z.Skip.to.Item"
"1","Ordinary salt [includes regular iodized salt, sea salt and seasoning salts made with regular salt]",5138,5138,""
"2","Lite salt",258,5396,""
"3","Salt substitute",85,5481,""
"4","Doesn't use or add salt products at the table",2970,8451,"DRQSPREP"
"91","Other",0,8451,""
"99","Don't know",165,8616,"DRQSPREP"
".","Missing",928,9544,""
