"VTQ281C.Code.or.Value","VTQ281C.Value.Description","VTQ281C.Count","VTQ281C.Cumulative","VTQ281C.Skip.to.Item"
"1","Yes",101,101,""
"2","No",2660,2761,"VTQ281E"
"7","Refused",0,2761,"VTQ281E"
"9","Don't know",7,2768,"VTQ281E"
".","Missing",404,3172,""
