"SSGI4OD2.Code.or.Value","SSGI4OD2.Value.Description","SSGI4OD2.Count","SSGI4OD2.Cumulative","SSGI4OD2.Skip.to.Item"
"0 to 3.5","Range of Values",946,946,NA
".","Missing",0,946,NA
