"URXPHE.Code.or.Value","URXPHE.Value.Description","URXPHE.Count","URXPHE.Cumulative","URXPHE.Skip.to.Item"
"0.495 to 550","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
