"LBCTNA.Code.or.Value","LBCTNA.Value.Description","LBCTNA.Count","LBCTNA.Cumulative","LBCTNA.Skip.to.Item"
"0.0023 to 0.8988","Range of Values",247,247,NA
".","Missing",0,247,NA
