"DR1IVARA.Code.or.Value","DR1IVARA.Value.Description","DR1IVARA.Count","DR1IVARA.Cumulative","DR1IVARA.Skip.to.Item"
"0 to 11363","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
