"MCQ035.Code.or.Value","MCQ035.Value.Description","MCQ035.Count","MCQ035.Cumulative","MCQ035.Skip.to.Item"
"1","Yes",835,835,""
"2","No",523,1358,"MCQ053"
"7","Refused",0,1358,"MCQ053"
"9","Don't know",27,1385,"MCQ053"
".","Missing",8281,9666,""
