"LBXPDT.Code.or.Value","LBXPDT.Value.Description","LBXPDT.Count","LBXPDT.Cumulative","LBXPDT.Skip.to.Item"
"0.033 to 15.846","Range of Values",2305,2305,NA
".","Missing",242,2547,NA
