"RHQ586Q.Code.or.Value","RHQ586Q.Value.Description","RHQ586Q.Count","RHQ586Q.Cumulative","RHQ586Q.Skip.to.Item"
"1 to 34","Range of Values",47,47,NA
"77","Refused",0,47,NA
"99","Don't know",0,47,NA
".","Missing",3239,3286,NA
