"AUDTYR53.Code.or.Value","AUDTYR53.Value.Description","AUDTYR53.Count","AUDTYR53.Cumulative","AUDTYR53.Skip.to.Item"
"0 to 4.56","Range of Values",1774,1774,NA
".","Missing",115,1889,NA
