"URDUBALC.Code.or.Value","URDUBALC.Value.Description","URDUBALC.Count","URDUBALC.Cumulative","URDUBALC.Skip.to.Item"
"0","At or above the detection limit",2365,2365,NA
"1","Below lower detection limit",8,2373,NA
".","Missing",89,2462,NA
