"DR1TATOA.Code.or.Value","DR1TATOA.Value.Description","DR1TATOA.Count","DR1TATOA.Cumulative","DR1TATOA.Skip.to.Item"
"0 to 53.99","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
