"CBQ545.Code.or.Value","CBQ545.Value.Description","CBQ545.Count","CBQ545.Cumulative","CBQ545.Skip.to.Item"
"1","Often",1043,1043,NA
"2","Sometimes",1712,2755,NA
"3","Rarely",923,3678,NA
"4","Never",473,4151,NA
"7","Refused",0,4151,NA
"9","Don't know",12,4163,NA
".","Missing",1859,6022,NA
