"DR1TPFAT.Code.or.Value","DR1TPFAT.Value.Description","DR1TPFAT.Count","DR1TPFAT.Cumulative","DR1TPFAT.Skip.to.Item"
"0.066 to 130.159","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
