"AUXLR222.Code.or.Value","AUXLR222.Value.Description","AUXLR222.Count","AUXLR222.Cumulative","AUXLR222.Skip.to.Item"
"-41 to 62","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
