"URDUP8LC.Code.or.Value","URDUP8LC.Value.Description","URDUP8LC.Count","URDUP8LC.Cumulative","URDUP8LC.Skip.to.Item"
"0","At or above the detection limit",2643,2643,NA
"1","Below lower detection limit",1,2644,NA
".","Missing",111,2755,NA
