"PSQ170A.Code.or.Value","PSQ170A.Value.Description","PSQ170A.Count","PSQ170A.Cumulative","PSQ170A.Skip.to.Item"
"1","Yes",7,7,NA
"2","No",11,18,NA
"7","Refused",0,18,NA
"9","Don't know",5,23,NA
".","Missing",98,121,NA
