"LBXBZAL.Code.or.Value","LBXBZAL.Value.Description","LBXBZAL.Count","LBXBZAL.Cumulative","LBXBZAL.Skip.to.Item"
"0.326 to 28.2","Range of Values",1468,1468,NA
".","Missing",856,2324,NA
