"DS2TPROT.Code.or.Value","DS2TPROT.Value.Description","DS2TPROT.Count","DS2TPROT.Cumulative","DS2TPROT.Skip.to.Item"
"0 to 53.4","Range of Values",196,196,NA
".","Missing",9566,9762,NA
