"HID030A.Code.or.Value","HID030A.Value.Description","HID030A.Count","HID030A.Cumulative","HID030A.Skip.to.Item"
"1","Yes",5888,5888,NA
"2","No",2986,8874,NA
"7","Refused",9,8883,NA
"9","Don't know",52,8935,NA
".","Missing",2104,11039,NA
