"WTSPO33.Code.or.Value","WTSPO33.Value.Description","WTSPO33.Count","WTSPO33.Cumulative","WTSPO33.Skip.to.Item"
"0.0000000 to 843710.8386700","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
