"BIXC649K.Code.or.Value","BIXC649K.Value.Description","BIXC649K.Count","BIXC649K.Cumulative","BIXC649K.Skip.to.Item"
"8.4 to 333.67","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
