"DSDDAY1.Code.or.Value","DSDDAY1.Value.Description","DSDDAY1.Count","DSDDAY1.Cumulative","DSDDAY1.Skip.to.Item"
"1","Yes",4946,4946,NA
"2","No",2563,7509,NA
"7","Refused",0,7509,NA
"9","Don't know",29,7538,NA
".","Missing",2021,9559,NA
