"VTQ280A.Code.or.Value","VTQ280A.Value.Description","VTQ280A.Count","VTQ280A.Cumulative","VTQ280A.Skip.to.Item"
"1","Yes",137,137,NA
"2","No",2450,2587,NA
"7","Refused",0,2587,NA
"9","Don't know",2,2589,NA
".","Missing",705,3294,NA
