"DXXCRURT.Code.or.Value","DXXCRURT.Value.Description","DXXCRURT.Count","DXXCRURT.Cumulative","DXXCRURT.Skip.to.Item"
"0.7 to 1.6","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
