"URDUTMLC.Code.or.Value","URDUTMLC.Value.Description","URDUTMLC.Count","URDUTMLC.Cumulative","URDUTMLC.Skip.to.Item"
"0","At or above the detection limit",68,68,NA
"1","below lower detection limit",2449,2517,NA
".","Missing",77,2594,NA
