"MCQ140.Code.or.Value","MCQ140.Value.Description","MCQ140.Count","MCQ140.Cumulative","MCQ140.Skip.to.Item"
"1","Yes",1228,1228,NA
"2","No",7898,9126,NA
"7","Refused",1,9127,NA
"9","Don't know",7,9134,NA
".","Missing",230,9364,NA
