"LBXRPL.Code.or.Value","LBXRPL.Value.Description","LBXRPL.Count","LBXRPL.Cumulative","LBXRPL.Skip.to.Item"
"0.9 to 26.5","Range of Values",6946,6946,NA
".","Missing",1140,8086,NA
