"LBXVST.Code.or.Value","LBXVST.Value.Description","LBXVST.Count","LBXVST.Cumulative","LBXVST.Skip.to.Item"
"0.0106 to 100","Range of Values",950,950,NA
".","Missing",499,1449,NA
