"URXEMM.Code.or.Value","URXEMM.Value.Description","URXEMM.Count","URXEMM.Cumulative","URXEMM.Skip.to.Item"
"0.0707 to 0.33","Range of Values",2634,2634,NA
".","Missing",122,2756,NA
