"LBXSGB.Code.or.Value","LBXSGB.Value.Description","LBXSGB.Count","LBXSGB.Cumulative","LBXSGB.Skip.to.Item"
"1 to 6.5","Range of Values",6369,6369,NA
".","Missing",548,6917,NA
