"DR2TM221.Code.or.Value","DR2TM221.Value.Description","DR2TM221.Count","DR2TM221.Cumulative","DR2TM221.Skip.to.Item"
"0 to 4.697","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
