"RFXT003.Code.or.Value","RFXT003.Value.Description","RFXT003.Count","RFXT003.Cumulative","RFXT003.Skip.to.Item"
"9 to 18","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
