"DSQIVC.Code.or.Value","DSQIVC.Value.Description","DSQIVC.Count","DSQIVC.Cumulative","DSQIVC.Skip.to.Item"
"0.003 to 28000","Range of Values",3440,3440,NA
".","Missing",6119,9559,NA
