"DXDLAPF.Code.or.Value","DXDLAPF.Value.Description","DXDLAPF.Count","DXDLAPF.Cumulative","DXDLAPF.Skip.to.Item"
"10.5 to 69.2","Range of Values",4081,4081,NA
".","Missing",1033,5114,NA
