"LBDIW1LC.Code.or.Value","LBDIW1LC.Value.Description","LBDIW1LC.Count","LBDIW1LC.Cumulative","LBDIW1LC.Skip.to.Item"
"0","At or above the detection limit",1281,1281,NA
"1","Below lower detection limit",6105,7386,NA
"2","Above upper detection limit",0,7386,NA
".","Missing",2054,9440,NA
