"BIXC039K.Code.or.Value","BIXC039K.Value.Description","BIXC039K.Count","BIXC039K.Cumulative","BIXC039K.Skip.to.Item"
"24.09 to 115.44","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
